Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;104;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;7843;FRIGIDEIRA;352908;DIÂMETRO: 30, MATERIAL: ALUMÍNIO, MATERIAL CABO: BAQUELITE, TIPO: FUNDA;UN;4,0000;46,6700;186,6800;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;105;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;1075;PANELA PRESSÃO;397245;CAPACIDADE: 7, CARACTERÍSTICAS ADICIONAIS: COM ALÇA, MATERIAL: ALUMÍNIO POLIDO, MATERIAL CABO: BAQUELITE;UN;2,0000;121,9600;243,9200;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;106;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;1075;PANELA PRESSÃO;424374;CAPACIDADE: 15, CARACTERÍSTICAS ADICIONAIS: COM ALÇA, MATERIAL: ALUMÍNIO POLIDO, MATERIAL CABO: BAQUELITE, SISTEMA SEGURANÇA: VÁLVULA SEGURANÇA;UN;2,0000;396,7100;793,4200;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;107;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7290;UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS;14460;ESCORREDOR;332679;ALTURA: 20, APLICAÇÃO: ARROZ, CARACTERÍSTICAS ADICIONAIS: ALÇAS REFORÇADAS, DIÂMETRO: 30, MATERIAL: ALUMÍNIO POLIDO;UN;6,0000;31,8800;191,2800;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;108;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7290;UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS;14460;ESCORREDOR;318684;APLICAÇÃO: MACARRÃO, CARACTERÍSTICAS ADICIONAIS: ALÇA E PÉS, DIÂMETRO: 35, MATERIAL: ALUMÍNIO;UN;10,0000;44,2000;442,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;109;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7290;UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS;14460;ESCORREDOR;276803;ALTURA: 35, APLICAÇÃO: MASSA, CAPACIDADE: 70, CARACTERÍSTICAS ADICIONAIS: ALÇAS REFORÇADAS, DIÂMETRO: 60, MATERIAL: ALUMÍNIO;UN;10,0000;143,9500;1439,5000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;110;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;12474;TACHO;283870;CAPACIDADE: 16, CARACTERÍSTICAS ADICIONAIS: COM ALÇA, MATERIAL: ALUMÍNIO;UN;6,0000;77,0000;462,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;111;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;12474;TACHO;397285;ALTURA: 19, CAPACIDADE: 20, CARACTERÍSTICAS ADICIONAIS: COM ORLA E 2 ALÇAS, DIÂMETRO BOCA: 45, MATERIAL: ALUMÍNIO;UN;6,0000;169,0900;1014,5400;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;112;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;3193;BACIA;460659;CAPACIDADE: 8, COR: VARIADA, DIÂMETRO: 39, FORMATO: REDONDA, MATERIAL: PLÁSTICO;UN;10,0000;12,3000;123,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;113;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;3193;BACIA;326594;CAPACIDADE: 35, CARACTERÍSTICAS ADICIONAIS: REDONDA, MATERIAL: PLÁSTICO;UN;10,0000;29,6300;296,3000;0,0000;31/12/2026
